Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
WINIARY (52),52,03,80,52/03/80,0.037,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,37,133,52/37/133,0.0025,Szkoła Podstawowa nr 11 im. Gen Dezyderego Chłapowskiego   ,
WINIARY (52),52,37,127,52/37/127,0.0176,Szkoła Podstawowa nr 11 im. Gen Dezyderego Chłapowskiego   ,
WINIARY (52),52,03,71/4,52/03/71/4,0.045,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,32,8,52/32/8,0.0906,IX Liceum Ogólnokształcące im. Karola Libelta   ,
WINIARY (52),52,23,5/12,52/23/5/12,0.2118,Zarząd Geodezji i Katastru Miejskiego GEOPOZ w Poznaniu   ,2016-02-11T02:00:00+01:00
WINIARY (52),52,18,6/127,52/18/6/127,0.0459,Zarząd Zieleni Miejskiej   ,
WINIARY (52),52,32,20/1,52/32/20/1,0.0376,IX Liceum Ogólnokształcące im. Karola Libelta   ,
WINIARY (52),52,25,43/1,52/25/43/1,0.0868,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,25,11,52/25/11,0.1194,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,14,26/2,52/14/26/2,1.2008,Zarząd Zieleni Miejskiej   ,
WINIARY (52),52,14,33/9,52/14/33/9,0.4626,Przedszkole Nr 116   ,
WINIARY (52),52,25,42/1,52/25/42/1,0.0753,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,25,47,52/25/47,0.1237,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,37,54,52/37/54,0.4589,Przedszkole nr 37   ,
PIĄTKOWO (53),53,21,49/21,53/21/49/21,2.1593,Zespół Szkolno-Przedszkolny nr 6   ,2017-07-18T04:00:00+02:00
PIĄTKOWO (53),53,15,189/93,53/15/189/93,0.002,Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia   ,2017-12-19T02:00:00+01:00
PIĄTKOWO (53),53,15,253/22,53/15/253/22,0.0034,Poznańskie Ośrodki Sportu i Rekreacji   ,2020-07-07T04:00:00+02:00
PIĄTKOWO (53),53,09,230/9,53/09/230/9,2.012,Zespół Szkolno-Przedszkolny nr 8   ,2018-04-18T04:00:00+02:00
WINIARY (52),52,28,97/92,52/28/97/92,0.0015,Zarząd Zieleni Miejskiej   ,
WINIARY (52),52,25,41/1,52/25/41/1,0.0159,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,25,44/1,52/25/44/1,0.0666,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,38,29,52/38/29,0.0063,Zarząd Zieleni Miejskiej   ,
WINIARY (52),52,10,5/3,52/10/5/3,0.3507,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,2020-01-24T02:00:00+01:00
PIĄTKOWO (53),53,07,409/3,53/07/409/3,0.0098,Zarząd Transportu Miejskiego w Poznaniu   ,
PIĄTKOWO (53),53,14,258/29,53/14/258/29,0.0535,Poradnia Psychologiczno -Pedagogiczna nr 4 Poznań-Piątkowo   ,
PIĄTKOWO (53),53,14,258/29,53/14/258/29,0.0535,Zespół Szkolno-Przedszkolny nr 11   ,2020-01-02T02:00:00+01:00
WINIARY (52),52,36,62,52/36/62,0.0278,Zespół Szkolno-Przedszkolny nr 12   ,
WINIARY (52),52,37,55,52/37/55,1.1898,XX Liceum Ogólnokształcące im Konstantego Ildefonsa Gałczyńskiego   ,2018-01-06T02:00:00+01:00
WINIARY (52),52,22,10/2,52/22/10/2,0.1231,Zespół Przedszkoli nr 3   ,
PIĄTKOWO (53),53,06,545/3,53/06/545/3,0.0108,"Przedszkole nr 148 ""Mali Europejczycy""   ",
WINIARY (52),52,37,37,52/37/37,0.586,XX Liceum Ogólnokształcące im Konstantego Ildefonsa Gałczyńskiego   ,2018-01-06T02:00:00+01:00
WINIARY (52),52,23,5/11,52/23/5/11,0.0094,Zarząd Geodezji i Katastru Miejskiego GEOPOZ w Poznaniu   ,2016-02-11T02:00:00+01:00
WINIARY (52),52,25,10/1,52/25/10/1,0.0408,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,15,7/2,52/15/7/2,0.0403,Zarząd Transportu Miejskiego w Poznaniu   ,
